办公室	办公室
洗衣区	卫生间
洗衣房间	卫生间
洗台	卫生间
洗水间	卫生间
洗漱室	卫生间
洗漱区域	卫生间
洗手室	卫生间
洗手区域	卫生间
洗室	卫生间
洗面室	卫生间
洗面间	卫生间
洗淋房	卫生间
西院	庭院
西屋	室内
西卧	卧室
西卫	卫生间
西梯	楼梯间
西堂	大堂
西房间	室内
屋沿	室内
屋卧室	卧室
屋卫生间	卫生间
屋外	室内
屋室内	室内
屋室	室内
屋铺	室内
屋内室	室内
屋内房	室内
屋內	室内
屋面	室内
屋门厅	门厅
屋门口	公共区域
屋门	公共区域
屋楼梯	室内
屋楼	室内
卧屋	卧室
卧卫生间	卫生间
卧卫	卫生间
卧室卫	卫生间
卧室厅	卧室
卧室内	卧室
卧室顶	卧室
卧房间	卧室
卧房顶	卧室
卫手间	卫生间
卫室	室外设施
卫生院	室外设施
卫生厅	室外设施
卫生台	室外设施
卫生所	室外设施
卫生室	卫生间
卫生区	卫生间
卫生房	卫生间
外厅	门厅
外室	室外设施
通院	室外设施
庭区域	庭院
庭门	庭院
厅洗手间	卫生间
厅卧室	卧室
厅卧	卧室
厅卫生间	卫生间
厅内	门厅
厅楼梯	门厅
梯厅	楼梯间
梯间	楼梯间
堂院	大堂
太阳能系统	新能源系统
水器室	其他功能房间
水表室	其他功能房间
水表房	其他功能房间
双卧室	卧室
双卧	卧室
双卫生间	卫生间
书屋	书房
书台	书房
书廊	书房
书房屋顶	书房
书房室	书房
书房内	书房
书房间	书房
书房房顶	书房
书房顶	书房
收纳间	其他功能房间
室卫生间	卫生间
室外	室外设施
室厅	室内
室铺	室内
室内屋顶	室内
室内顶	室内
室门外	公共区域
室门	公共区域
室电梯厅	电梯厅
室道	通道
试衣间	其他功能房间
商铺室	商铺
商铺房	商铺
入户玄门	入户玄关
入户玄镜	入户玄关
入户玄灯	入户玄关
入户区域	入户玄关
入户门厅	门厅
入户门廊	连廊
入户门顶	入户玄关
入户廊	连廊
入户口	入户玄关
入户间	入户玄关
入户房间	入户玄关
入户房	入户玄关
入户顶	入户玄关
入道	通道
强电间	配电房
前院	庭院
前屋	室内
其他功能房	其他功能房间
普通房	室内
炮台	炮楼
排院	庭院
排烟系统	排烟系统
排屋区	室内
排屋	室内
排污系统	给排水系统
排污间	给排水系统
排水系统	给排水系统
排水室	给排水系统
排水设备系统	给排水系统
排门	公共区域
排口	公共区域
排房顶	楼顶
暖系统	供暖设施
暖间	供暖设施
能源间	新能源系统
内院	室内
内屋顶	室内
内屋	室内
内室	室内
内铺	室内
内廊	连廊
内间	室内
内房	室内
内顶	室内
南卧室	卧室
南卧房	卧室
南卫	卫生间
南房间	室内
南房	室内
南北卧室	卧室
南北卧	卧室
沐浴室	卫生间
面房	室内
门下房	室内
门厅顶	门厅
门面房	室内
门口	公共区域
门	公共区域
猫系统	安防智能化体系
楼院内	庭院
楼屋	室内
楼卫	卫生间
楼梯厅	楼梯间
楼梯房	楼梯间
楼室	室内
楼内	室内
楼里	室内
楼廊	连廊
楼教室	教室
楼间	楼梯间
楼共卫	卫生间
楼共区	公共区域
楼道	通道
楼北卧	卧室
楼北间	室内
淋浴卫	卫生间
淋浴厅	卫生间
淋浴区	卫生间
淋浴内	卫生间
淋浴门房	卫生间
淋浴房内	卫生间
淋浴房顶	卫生间
淋浴	卫生间
淋卫房	卫生间
林道	室外设施
晾衣间	其他功能房间
里屋	室内
冷藏室	其他功能房间
乐室	其他功能房间
老人卧	卧室
老人卫	卫生间
老人房间	老人房
廊厅	连廊
廊	连廊
库房	仓库
控制室	其他功能房间
控制区域	其他功能房间
控制间	其他功能房间
控室	其他功能房间
空调器室	空调室
空调间	空调室
空调房间	空调室
空调房	空调室
客卧厅	门厅
客卧室	卧室
客卧房	卧室
客卫生间	卫生间
客厅室	客厅
客梯厅	楼梯间
客梯	楼梯间
客人房	卧室
客间	卧室
客户厅	门厅
客户房	卧室
客房屋顶	卧室
客房间	卧室
客房顶	卧室
客厕	卫生间
可视系统	安防智能化体系
可视开门系统	安防智能化体系
可视对讲系统	安防智能化体系
开门对讲系统	安防智能化体系
洁具间	卫生间
家门	公共区域
户院	庭院
户卧室	卧室
户卫	卫生间
户厅	门厅
户室	室内
户间	室内
户房	室内
候梯间	楼梯间
侯梯厅	楼梯间
横厅	门厅
和厅	门厅
过院	庭院
过玄关	入户玄关
过屋	公共区域
过卫生间	卫生间
过卫	卫生间
过通门	公共区域
过厅	公共区域
过台	公共区域
过墙	公共区域
过门口	公共区域
过门处	公共区域
过门	公共区域
过滤系统	过滤系统
过廊	连廊
过道间	通道
共用房	公共区域
功能间	其他功能房间
功能房间	其他功能房间
公用间	公共区域
公用房	公共区域
公卧	卧室
公卫生间	卫生间
公堂	大堂
公室	公共区域
公区域	公共区域
公区铺	公共区域
公共浴室	公共区域
公共用房	公共区域
公共区内	公共区域
公共区廊	公共区域
公共区	公共区域
公共楼	公共区域
公共空间	公共区域
公共道	公共区域
公厕顶	卫生间
给水系统	给排水系统
阁外	阁楼
阁楼梯	阁楼
阁楼内	阁楼
阁楼顶	楼顶
阁间	阁楼
钢琴房	其他功能房间
房中	室内
房院	庭院
房玄关	入户玄关
房屋内	室内
房屋里	室内
房屋间	室内
房屋顶	楼顶
房卧室	卧室
房卫生间	卫生间
房卫	卫生间
房厅	门厅
房室内	室内
房室	室内
房铺	室内
房内室	室内
房门	公共区域
房廊	连廊
防范系统	安防智能化体系
兒童房	儿童房
儿卧	卧室
儿卫	卫生间
儿童室	儿童房
儿童区	儿童房
儿童间	儿童房
儿童房内	儿童房
儿童房间	儿童房
儿童房顶	儿童房
儿房	儿童房
峉厅	客厅
歺厅	餐厅
多功能房间	其他功能房间
对讲室	其他功能房间
东卧	卧室
东梯	楼梯间
东面房间	室内
东北间	室内
东北房间	室内
电梯内	电梯厅
电梯房	电梯厅
电梯层	电梯厅
电室	配电房
电器系统	电器系统
电器间	配电房
电表室	其他功能房间
电表间	其他功能房间
地下内	地下室
地下库	地下室
地厅	地下室
地室	地下室
地热系统	供暖设施
地暖系统	供暖设施
地暖间	供暖设施
单元厅	客厅
单元室	室内
单元间	室内
单元房	室内
单间	室内
大院	庭院
大屋	室内
大卧室	卧室
大卧	卧室
大卫	卫生间
大通道	通道
大堂室	大堂
大室	室内
大南卧	卧室
大门下	公共区域
大门室	公共区域
大门上	公共区域
大门区	公共区域
大门里	公共区域
大门口室	公共区域
大门户	公共区域
大门道	公共区域
大门处	公共区域
大门边	公共区域
大道	通道
大次卧	卧室
大北卧	卧室
次浴室	卫生间
次屋室	卧室
次屋	卧室
次卧厅	卧室
次卧内	卧室
次卧间	卧室
次卧房间	卧室
次卧房顶	卧室
次卫生间	卫生间
次房顶	楼顶
次厕	卫生间
穿衣间	其他功能房间
穿堂	大堂
储物房间	储藏室
储物房	储藏室
储间	储藏室
储藏屋	储藏室
储藏顶	储藏室
储仓间	储藏室
橱内	厨房
厨卫	卫生间
厨室	厨房
厨里	厨房
厨间	厨房
厨房屋顶	厨房
厨房室内	厨房
厨房内	厨房
厨房顶	厨房
厨顶	厨房
抽排系统	给排水系统
冲凉间	卫生间
车位室	车库
车位间	车库
车通道	通道
车所	车库
车室	车库
车区域	车库
车棚	车库
车楼	车库
车房	车库
车道	通道
茶厅	茶艺室
茶水间	茶艺室
茶室	茶艺室
茶楼	茶艺室
侧卫	卫生间
厕卫生间	卫生间
厕卫	卫生间
厕台	卫生间
厕所间	卫生间
仓房	仓库
餐台	餐厅
餐间	餐厅
餐厨	餐厅
采暖系统	供暖设施
采暖间	其他功能房间
歩梯间	楼梯间
北院	庭院
北卧室房	卧室
北卧室	卧室
北卧内间	卧室
北卧房间	卧室
北卧房顶	卧室
北卧房	卧室
北卫生间	卫生间
办公区域	办公室
办公楼	商业办公区
安防智能系统	安防智能化体系
安防智能	安防智能化体系
安防对讲系统	安防智能化体系
主人	卧室
主卧卫生间	卫生间
主卧室	卧室
主次	卧室
主次卫	卫生间
书	书房
书房门	书房
供暖设施	供暖设施
侧卧室	卧室
侧院	庭院
储藏	储藏室
儿童	儿童房
儿童房门	儿童房
入户玄	入户玄关
公共	公共区域
公共卫生间	卫生间
其他	其他功能房间
北房间	室内
卧	卧室
卧室卫生间	卫生间
卧室门	卧室
卧室门外	卧室
卧屋内	卧室
厅	客厅
厨	厨房
厨房中	厨房
厨房门	厨房
商	商铺
地下	地下室
多功能厅	其他功能房间
大门	门厅
大门内	门厅
客	客厅
客厅内	客厅
客厅卫生间	卫生间
室中	室内
室门口	门厅
对讲	安防智能化体系
对讲系统	安防智能化体系
屋	室内
庭	庭院
房	室内
房门口	门厅
楼卫生间	卫生间
楼台	阁楼
楼梯间	楼梯间
楼院	庭院
次卧卫生间	卫生间
洗衣	其他功能房间
浴	其他功能房间
消防	消防系统
淋	其他功能房间
玄	入户玄关
电梯间	电梯厅
空调	空调室
空调室内	空调室
老人	老人室
车位	车库
通道	通道
阳台	阳台
单元门	门厅
中控室	安防智能化体系
